Timestamp,ParticipantID,BetweenCondition,GroupType,ConditionOrder,ConditionName,StudyPhase,HMD_X,HMD_Y,HMD_Z,HMD_Roll,HMD_Pitch,HMD_Yaw,LeftController_IsTracked,LeftController_X,LeftController_Y,LeftController_Z,LeftController_Roll,LeftController_Pitch,LeftController_Yaw,RightController_IsTracked,RightController_X,RightController_Y,RightController_Z,RightController_Roll,RightController_Pitch,RightController_Yaw
496.877,50,VR,B,1,Control Condition,Running Visualization,155.960,-112.206,173.620,-4.637,-12.435,111.920,1,-48.845,-95.161,79.792,64.313,-44.157,6.469,1,-52.704,-63.388,134.700,-9.977,-4.131,19.089
497.361,50,VR,B,1,Control Condition,Running Visualization,150.701,-109.364,172.098,0.415,-19.331,121.115,1,-44.908,-94.783,79.952,69.728,-46.049,9.625,1,-51.948,-57.948,131.389,-9.026,-8.200,27.478
497.861,50,VR,B,1,Control Condition,Running Visualization,139.395,-110.034,170.801,-0.296,-26.808,145.639,1,-31.393,-69.769,86.605,50.454,-32.423,28.030,1,-65.338,-41.504,90.254,-70.307,-41.086,78.206
498.361,50,VR,B,1,Control Condition,Running Visualization,140.753,-101.515,170.949,1.242,-25.809,171.983,1,-19.273,-59.831,84.264,60.787,-39.085,52.340,1,-74.399,-53.071,80.725,-81.632,-52.552,134.506
498.862,50,VR,B,1,Control Condition,Running Visualization,145.332,-89.830,169.868,-2.156,-28.979,-178.468,1,-8.474,-47.096,118.505,6.538,16.452,60.285,1,-65.697,-56.482,91.620,-43.247,-39.686,135.624
499.361,50,VR,B,1,Control Condition,Running Visualization,148.650,-89.987,167.531,-1.753,-39.355,170.238,1,-24.227,-73.051,164.571,-84.792,56.705,2.202,1,-56.502,-67.006,165.053,69.912,48.990,150.921
499.861,50,VR,B,1,Control Condition,Running Visualization,150.520,-90.945,165.330,-1.733,-44.726,152.168,1,-28.544,-79.133,165.099,-84.518,59.214,-14.133,1,-54.052,-67.297,164.455,76.280,58.997,141.362
500.361,50,VR,B,1,Control Condition,Running Visualization,153.005,-89.288,165.682,0.696,-43.936,153.533,1,-27.032,-80.814,166.368,-88.969,60.157,-20.163,1,-53.481,-70.366,164.467,83.499,56.723,146.278
500.876,50,VR,B,1,Control Condition,Running Visualization,154.872,-83.411,169.375,-1.697,-31.141,165.505,1,-20.033,-84.267,168.225,-112.433,55.677,-26.097,1,-49.159,-76.345,166.780,96.619,54.486,167.527
501.362,50,VR,B,1,Control Condition,Running Visualization,154.885,-75.217,169.515,-3.426,-31.899,169.198,1,-9.676,-86.645,166.760,-128.968,49.870,-29.673,1,-41.586,-81.665,167.626,110.494,50.017,179.618
501.861,50,VR,B,1,Control Condition,Running Visualization,155.678,-72.558,168.089,-4.208,-37.228,158.085,1,-3.783,-86.692,164.318,-109.681,50.261,-27.382,1,-43.685,-75.885,165.493,87.985,50.628,165.629
502.362,50,VR,B,1,Control Condition,Running Visualization,156.291,-74.182,166.860,-2.660,-40.016,140.659,1,5.524,-79.600,82.965,32.615,-44.426,36.659,1,-44.820,-55.805,87.998,-52.377,-50.938,97.642
502.862,50,VR,B,1,Control Condition,Running Visualization,155.471,-80.828,167.661,-4.135,-37.194,149.824,1,-2.629,-84.899,81.693,61.660,-44.554,29.583,1,-58.391,-63.663,82.328,-76.054,-49.901,108.655
503.361,50,VR,B,1,Control Condition,Running Visualization,155.846,-84.975,168.455,-4.041,-34.336,153.332,1,-7.756,-75.147,84.120,57.703,-36.189,44.891,1,-56.788,-63.370,83.040,-67.928,-45.063,100.002
503.863,50,VR,B,1,Control Condition,Running Visualization,156.440,-87.402,172.876,-2.545,-13.758,151.015,1,-7.493,-84.612,81.851,67.319,-43.903,33.023,1,-60.620,-66.526,80.725,-73.601,-47.769,105.552
504.362,50,VR,B,1,Control Condition,Running Visualization,157.613,-86.593,172.703,0.331,-17.139,133.947,1,-8.265,-85.001,84.530,64.014,-39.298,33.571,1,-49.779,-60.595,82.347,-65.158,-45.944,85.695
504.862,50,VR,B,1,Control Condition,Running Visualization,156.261,-84.507,171.535,-0.829,-22.115,127.667,1,-10.753,-92.103,82.084,67.370,-47.746,21.517,1,-51.063,-61.979,80.941,-69.021,-47.164,80.333
505.375,50,VR,B,1,Control Condition,Running Visualization,159.555,-82.866,167.785,-0.556,-34.559,106.333,1,-6.474,-89.492,86.596,61.931,-31.246,16.357,1,-47.658,-59.485,81.136,-66.719,-46.392,65.683
505.861,50,VR,B,1,Control Condition,Running Visualization,160.221,-82.267,167.768,-1.361,-34.480,105.418,1,-19.700,-103.251,80.198,71.411,-49.717,-2.097,1,-44.479,-58.416,82.140,-67.045,-44.438,59.086
506.374,50,VR,B,1,Control Condition,Running Visualization,159.113,-83.570,168.738,-2.743,-32.411,119.925,1,-10.124,-92.888,83.611,61.601,-39.128,15.275,1,-46.372,-60.157,81.595,-67.406,-44.409,63.888
506.873,50,VR,B,1,Control Condition,Running Visualization,158.602,-82.164,167.171,-1.704,-37.819,120.500,1,-11.212,-94.959,81.296,65.468,-43.659,13.130,1,-48.432,-60.955,81.080,-67.772,-44.837,69.003
507.373,50,VR,B,1,Control Condition,Running Visualization,157.945,-82.364,164.822,-3.226,-46.125,122.700,1,-14.268,-95.354,79.556,63.338,-44.557,8.643,1,-50.866,-59.186,81.598,-70.392,-44.417,68.523
507.874,50,VR,B,1,Control Condition,Running Visualization,155.456,-86.292,162.983,-0.599,-53.283,137.879,1,-12.012,-91.796,79.824,62.788,-45.417,10.204,1,-53.892,-59.550,81.562,-69.539,-47.490,76.520
508.373,50,VR,B,1,Control Condition,Running Visualization,154.276,-88.693,162.116,0.065,-55.781,157.943,1,-10.348,-64.648,93.002,-41.699,-60.360,56.915,1,-58.332,-56.772,89.230,50.982,-65.167,79.828
508.874,50,VR,B,1,Control Condition,Running Visualization,153.074,-88.564,163.199,-2.529,-52.383,175.064,1,-10.142,-58.117,96.099,-48.067,-45.390,71.396,1,-61.740,-57.980,91.137,37.538,-54.165,91.906
509.373,50,VR,B,1,Control Condition,Running Visualization,151.456,-85.694,165.635,-3.430,-43.689,179.004,1,-9.153,-80.183,79.324,71.465,-63.853,50.117,1,-61.221,-74.660,79.452,-74.605,-55.183,130.313
509.874,50,VR,B,1,Control Condition,Running Visualization,152.263,-82.212,171.774,-4.346,-21.217,-176.823,1,-6.016,-67.821,82.354,65.613,-49.955,65.595,1,-54.702,-66.545,82.604,-65.125,-46.017,116.487
510.374,50,VR,B,1,Control Condition,Running Visualization,154.909,-83.734,172.758,-2.511,-18.354,-146.913,1,-5.906,-69.511,78.975,73.962,-60.996,73.708,1,-55.045,-76.451,81.196,-70.305,-47.843,138.238
510.873,50,VR,B,1,Control Condition,Running Visualization,154.874,-82.367,171.467,-3.294,-24.384,-146.418,1,-9.500,-62.018,81.345,65.930,-52.850,86.203,1,-54.495,-78.701,82.038,-70.131,-48.077,142.586
511.374,50,VR,B,1,Control Condition,Running Visualization,153.867,-78.473,169.892,-4.243,-31.071,-165.130,1,-3.823,-67.653,80.360,70.264,-55.655,73.869,1,-52.854,-76.786,81.778,-72.458,-48.896,135.155
511.873,50,VR,B,1,Control Condition,Running Visualization,154.543,-76.110,169.256,-3.054,-33.243,-173.967,1,-0.378,-75.116,79.700,71.184,-57.177,61.489,1,-49.663,-70.701,83.141,-68.525,-46.095,120.819
512.374,50,VR,B,1,Control Condition,Running Visualization,155.059,-73.373,169.557,-3.830,-32.434,177.554,1,3.166,-77.996,80.258,71.008,-54.762,52.344,1,-47.372,-69.903,82.219,-71.677,-47.706,114.564
512.874,50,VR,B,1,Control Condition,Running Visualization,155.248,-71.638,169.901,-3.819,-31.308,172.294,1,1.901,-80.898,79.415,69.208,-57.365,49.824,1,-45.031,-67.088,82.492,-70.321,-46.921,109.480
513.374,50,VR,B,1,Control Condition,Running Visualization,155.941,-69.802,168.521,-3.388,-36.526,169.285,1,5.768,-80.232,79.953,68.686,-53.501,46.210,1,-43.954,-66.447,82.481,-70.881,-46.406,108.129
513.873,50,VR,B,1,Control Condition,Running Visualization,155.110,-68.996,168.187,-4.344,-37.298,170.406,1,4.404,-84.195,78.646,70.293,-57.836,44.223,1,-42.570,-66.805,82.230,-71.392,-47.047,106.982
514.373,50,VR,B,1,Control Condition,Running Visualization,154.113,-67.984,168.186,-4.605,-36.865,169.399,1,5.370,-80.254,79.399,67.749,-54.795,46.827,1,-42.358,-66.393,82.353,-72.215,-47.579,107.270
514.873,50,VR,B,1,Control Condition,Running Visualization,153.641,-65.621,167.599,-5.960,-37.693,169.766,1,4.176,-82.013,78.084,68.343,-57.564,50.738,1,-40.198,-64.809,82.694,-72.828,-46.905,105.608
515.373,50,VR,B,1,Control Condition,Running Visualization,152.628,-63.401,165.433,-7.410,-43.049,171.253,1,8.188,-82.838,77.610,69.569,-56.225,45.532,1,-39.573,-64.896,82.743,-75.491,-46.442,105.867
515.873,50,VR,B,1,Control Condition,Running Visualization,146.824,-65.941,164.556,-6.880,-45.042,159.426,1,3.464,-86.116,77.025,72.797,-57.904,26.364,1,-36.305,-52.437,82.463,-72.594,-45.462,90.128
516.374,50,VR,B,1,Control Condition,Running Visualization,131.719,-74.611,165.346,-4.386,-46.064,153.940,1,-3.097,-71.642,80.707,69.477,-54.220,22.712,1,-40.336,-38.117,82.150,-69.063,-46.367,82.466
516.874,50,VR,B,1,Control Condition,Running Visualization,123.402,-79.836,164.222,-7.878,-48.058,159.761,1,-7.463,-65.727,80.219,71.456,-53.844,18.568,1,-43.020,-26.312,82.505,-70.433,-31.408,88.302
517.373,50,VR,B,1,Control Condition,Running Visualization,120.562,-81.634,164.119,-7.316,-46.639,160.308,1,-8.825,-68.792,80.126,77.524,-55.557,10.191,1,-40.470,-11.745,84.592,4.384,-51.823,63.176
517.873,50,VR,B,1,Control Condition,Running Visualization,119.850,-81.367,164.397,-7.658,-45.851,161.212,1,-6.086,-66.324,81.400,75.060,-52.526,14.280,1,-51.015,-6.586,86.218,-42.581,-29.908,147.050
518.372,50,VR,B,1,Control Condition,Running Visualization,114.715,-82.477,163.697,-6.232,-43.349,158.728,1,-9.740,-72.281,82.736,84.213,-54.371,2.441,1,-27.762,-6.547,81.798,-73.470,-21.242,60.172
518.872,50,VR,B,1,Control Condition,Running Visualization,112.784,-81.134,162.845,-5.314,-44.577,153.360,1,-12.415,-75.912,83.917,87.470,-53.733,-7.868,1,-31.448,-1.402,79.734,-66.471,-25.375,85.710
519.373,50,VR,B,1,Control Condition,Running Visualization,115.896,-81.259,164.156,-6.755,-42.906,156.851,1,-9.492,-74.386,83.893,82.326,-52.339,-1.011,1,-41.265,-0.258,83.425,15.989,-60.602,114.632
519.872,50,VR,B,1,Control Condition,Running Visualization,119.994,-82.119,165.083,-7.079,-41.081,159.809,1,-9.229,-76.425,83.809,82.335,-53.570,1.779,1,-45.316,-3.783,84.798,22.197,-59.333,105.891
520.373,50,VR,B,1,Control Condition,Running Visualization,139.215,-74.732,172.999,-1.673,-12.445,126.532,1,-3.184,-82.362,83.775,74.718,-51.965,10.840,1,-37.936,-44.617,74.161,-75.785,-53.104,85.632
520.873,50,VR,B,1,Control Condition,Running Visualization,152.466,-68.756,174.824,-1.888,-5.124,123.780,1,-5.113,-100.851,80.040,87.530,-61.700,-8.578,1,-25.439,-43.401,82.727,-57.541,-34.613,75.625
521.373,50,VR,B,1,Control Condition,Running Visualization,154.243,-69.099,176.217,-0.310,0.882,143.064,1,20.335,-80.049,98.721,27.559,-13.855,14.788,1,-37.869,-49.937,81.700,-61.525,-39.386,106.662
521.873,50,VR,B,1,Control Condition,Running Visualization,151.630,-73.698,175.232,-6.171,-2.182,176.095,1,-9.840,-84.150,167.481,-113.524,51.082,-40.295,1,-50.511,-52.902,84.605,-69.927,-35.312,112.791
522.373,50,VR,B,1,Control Condition,Running Visualization,156.996,-77.357,179.385,-4.375,24.764,179.604,1,-14.070,-83.278,168.092,-132.099,41.800,-41.691,1,-56.933,-56.661,85.012,-68.564,-34.887,121.994
522.872,50,VR,B,1,Control Condition,Running Visualization,155.212,-82.789,179.130,-3.463,21.403,-156.066,1,-17.193,-76.457,167.789,-131.044,46.438,-13.656,1,-65.184,-61.229,86.429,-66.833,-35.118,136.884
523.372,50,VR,B,1,Control Condition,Running Visualization,151.726,-80.830,176.977,-1.784,6.159,-118.771,1,-14.917,-64.303,168.107,-114.494,57.291,36.153,1,-66.141,-68.777,88.732,-65.686,-32.092,158.443
523.873,50,VR,B,1,Control Condition,Running Visualization,153.920,-75.567,171.204,-4.285,-18.018,-68.244,1,-19.548,-56.954,166.254,-81.645,61.082,114.891,1,-45.959,-91.825,83.428,-68.625,-37.694,-160.269
524.372,50,VR,B,1,Control Condition,Running Visualization,154.378,-75.107,166.137,-9.611,-37.108,-55.629,1,-23.097,-57.177,164.306,-61.701,52.660,146.281,1,-30.292,-97.223,79.423,-67.256,-43.085,-136.802
524.873,50,VR,B,1,Control Condition,Running Visualization,145.661,-77.440,167.200,-8.212,-35.033,-94.849,1,-15.981,-54.055,165.117,-73.314,54.435,102.327,1,-36.738,-90.520,78.508,-74.500,-46.715,-162.726
525.372,50,VR,B,1,Control Condition,Running Visualization,140.406,-71.964,168.183,-4.752,-37.800,-162.491,1,-3.934,-63.905,165.368,-89.012,65.269,51.447,1,-54.569,-67.185,82.710,-69.070,-38.162,146.447
525.872,50,VR,B,1,Control Condition,Running Visualization,143.999,-69.158,167.814,-2.022,-40.255,173.971,1,-3.554,-72.807,165.791,-86.623,66.594,35.788,1,-44.103,-58.593,81.216,-64.969,-40.611,114.210
526.372,50,VR,B,1,Control Condition,Running Visualization,144.463,-66.253,168.067,-1.842,-38.409,171.499,1,-3.909,-67.150,163.232,-74.779,42.837,9.012,1,-44.274,-60.168,80.189,-69.640,-41.607,116.516
526.871,50,VR,B,1,Control Condition,Running Visualization,143.743,-63.799,168.019,-3.737,-37.629,177.896,1,-1.370,-65.065,163.372,-75.248,42.032,14.906,1,-41.473,-60.519,80.468,-68.922,-41.500,117.509
527.372,50,VR,B,1,Control Condition,Running Visualization,142.270,-60.989,167.553,-5.833,-38.459,179.193,1,1.010,-64.507,163.105,-76.694,41.775,12.738,1,-40.278,-60.725,80.790,-69.352,-40.991,121.204
527.871,50,VR,B,1,Control Condition,Running Visualization,140.483,-60.790,166.834,-3.683,-40.629,-178.275,1,20.598,-45.395,108.509,28.935,10.939,36.013,1,-39.415,-61.126,80.505,-68.781,-41.272,124.432
528.372,50,VR,B,1,Control Condition,Running Visualization,140.006,-59.746,165.935,-5.249,-43.800,-179.003,1,19.452,-73.607,78.275,73.281,-44.233,37.896,1,-39.301,-58.795,82.389,-60.042,-42.820,121.595
528.872,50,VR,B,1,Control Condition,Running Visualization,142.754,-61.168,165.930,-5.566,-44.168,-176.858,1,15.200,-51.515,85.993,60.534,-27.833,64.550,1,-41.463,-61.629,82.191,-70.800,-47.520,134.155
529.372,50,VR,B,1,Control Condition,Running Visualization,141.304,-56.429,165.176,-7.746,-45.882,179.741,1,18.289,-72.154,77.757,72.481,-48.286,50.577,1,-39.563,-64.548,81.670,-75.566,-45.389,133.108
529.872,50,VR,B,1,Control Condition,Running Visualization,137.697,-48.645,162.269,-11.589,-51.977,169.782,1,24.296,-70.328,78.979,62.491,-39.675,31.995,1,-35.833,-48.114,85.110,-80.803,-40.197,113.600
530.372,50,VR,B,1,Control Condition,Running Visualization,123.820,-55.308,161.823,-6.797,-50.332,153.233,1,9.636,-74.320,77.166,77.508,-50.380,8.093,1,-29.247,-25.450,82.133,-73.451,-41.249,91.201
530.871,50,VR,B,1,Control Condition,Running Visualization,104.969,-64.353,163.072,-3.384,-56.154,126.594,1,1.041,-54.172,85.309,72.767,-40.997,-1.983,1,-33.117,-5.735,81.968,-70.668,-43.189,74.764
531.372,50,VR,B,1,Control Condition,Running Visualization,95.463,-68.917,162.545,-1.273,-56.636,121.205,1,-7.879,-55.238,85.972,83.345,-42.380,-19.798,1,-29.131,5.403,80.966,-70.394,-37.718,73.181
531.872,50,VR,B,1,Control Condition,Running Visualization,94.515,-70.787,162.495,-2.243,-56.759,125.616,1,-5.593,-54.708,87.147,80.531,-38.575,-17.472,1,-23.935,-2.431,79.882,-81.591,-32.110,29.464
532.372,50,VR,B,1,Control Condition,Running Visualization,94.316,-73.738,162.415,-2.442,-56.573,128.968,1,-7.192,-54.814,86.317,81.528,-39.513,-17.471,1,-31.890,7.556,80.180,-66.263,-32.763,102.096
532.873,50,VR,B,1,Control Condition,Running Visualization,94.795,-76.635,162.613,-4.283,-55.892,134.733,1,-7.989,-55.816,86.612,80.949,-39.003,-15.398,1,-30.218,-2.238,79.268,-79.543,-30.139,48.930
533.372,50,VR,B,1,Control Condition,Running Visualization,96.284,-77.341,162.839,-4.826,-55.321,134.881,1,-9.139,-57.345,86.613,80.121,-38.522,-16.526,1,-30.650,-0.803,78.833,-77.590,-33.125,63.497
533.872,50,VR,B,1,Control Condition,Running Visualization,97.130,-77.631,163.164,-6.577,-53.498,137.341,1,-10.430,-58.525,86.197,80.685,-39.714,-17.291,1,-34.280,1.718,78.510,-84.373,-31.274,68.241
534.371,50,VR,B,1,Control Condition,Running Visualization,105.438,-72.920,164.272,-5.438,-49.748,140.093,1,-3.372,-63.728,85.723,80.727,-40.764,-10.843,1,-33.761,-3.459,80.570,-51.953,-41.936,110.260
534.871,50,VR,B,1,Control Condition,Running Visualization,126.926,-61.053,162.753,-2.337,-49.807,145.260,1,15.902,-74.847,83.027,75.191,-38.932,4.160,1,-26.694,-31.872,76.743,-83.614,-37.869,94.984
535.372,50,VR,B,1,Control Condition,Running Visualization,138.402,-55.839,163.587,1.839,-50.420,135.194,1,16.073,-83.171,81.310,77.123,-44.520,6.056,1,-28.925,-41.660,79.522,-81.174,-44.910,98.956
535.871,50,VR,B,1,Control Condition,Running Visualization,142.084,-59.477,161.903,-0.280,-54.357,119.845,1,12.722,-76.174,85.049,65.681,-33.357,12.147,1,-38.241,-44.290,81.051,-80.356,-50.772,86.453
536.372,50,VR,B,1,Control Condition,Running Visualization,144.603,-58.945,162.494,-2.582,-50.369,113.659,1,-10.983,-93.967,76.742,91.465,-61.384,-20.844,1,-35.178,-41.964,82.575,-78.185,-48.998,79.210
536.872,50,VR,B,1,Control Condition,Running Visualization,146.946,-47.988,164.072,-1.902,-46.815,109.855,1,25.719,-83.382,86.249,66.463,-32.535,5.134,1,-18.749,-45.337,82.214,-74.452,-49.212,71.092
537.373,50,VR,B,1,Control Condition,Running Visualization,153.942,-42.634,165.166,-1.684,-42.467,86.884,1,10.865,-91.800,79.128,77.387,-48.807,1.308,1,-8.078,-46.431,80.850,-80.332,-52.244,53.302
537.872,50,VR,B,1,Control Condition,Running Visualization,160.316,-46.011,163.961,9.292,-45.154,47.181,1,-7.468,-93.531,78.570,76.493,-60.557,-23.047,1,7.118,-49.923,82.922,-72.615,-46.964,19.483
538.372,50,VR,B,1,Control Condition,Running Visualization,162.433,-44.864,165.344,4.484,-37.660,49.091,1,0.249,-98.703,80.307,70.265,-47.579,-29.510,1,6.815,-51.342,81.582,-75.972,-49.694,18.262
538.871,50,VR,B,1,Control Condition,Running Visualization,154.470,-45.867,175.696,-4.212,4.992,93.272,1,8.376,-99.655,79.645,77.259,-51.838,-14.812,1,2.221,-49.715,81.455,-72.772,-49.656,42.507
539.371,50,VR,B,1,Control Condition,Running Visualization,150.298,-48.911,175.762,-2.071,3.999,118.268,1,20.285,-86.752,82.909,69.183,-43.983,10.935,1,-9.792,-47.644,82.161,-75.339,-50.756,67.677
539.872,50,VR,B,1,Control Condition,Running Visualization,144.219,-49.113,171.696,-3.640,-22.678,139.372,1,20.538,-88.098,81.013,84.277,-54.176,8.098,1,-15.116,-47.575,84.612,-67.510,-47.716,84.134
540.371,50,VR,B,1,Control Condition,Running Visualization,141.915,-49.485,168.776,-2.215,-33.053,152.835,1,28.478,-59.317,87.745,62.892,-32.820,44.568,1,-27.150,-54.102,82.377,-78.500,-51.008,110.568
540.872,50,VR,B,1,Control Condition,Running Visualization,141.614,-48.095,167.609,-5.128,-36.875,174.472,1,29.006,-72.824,78.942,82.634,-54.805,45.500,1,-25.815,-60.276,84.067,-70.033,-46.485,124.715
541.371,50,VR,B,1,Control Condition,Running Visualization,141.800,-47.242,167.272,-5.357,-39.424,176.098,1,25.155,-58.616,82.689,61.835,-40.977,65.774,1,-26.031,-65.103,81.466,-76.828,-50.584,129.995
541.872,50,VR,B,1,Control Condition,Running Visualization,141.919,-46.352,167.335,-4.805,-41.110,176.508,1,30.118,-67.677,79.814,72.535,-50.266,50.208,1,-22.694,-60.819,82.017,-70.545,-48.608,119.353
542.371,50,VR,B,1,Control Condition,Running Visualization,142.589,-49.041,166.774,-4.409,-43.214,177.589,1,25.322,-64.383,79.889,81.954,-32.873,61.327,1,-26.278,-62.650,81.087,-72.988,-42.239,121.247
542.871,50,VR,B,1,Control Condition,Running Visualization,144.375,-57.164,166.109,-2.276,-45.727,172.391,1,18.360,-66.194,81.325,82.647,-29.826,60.077,1,-34.011,-66.048,80.233,-70.283,-50.618,126.613
543.371,50,VR,B,1,Control Condition,Running Visualization,147.943,-62.422,165.501,-2.649,-44.338,165.956,1,14.927,-81.996,77.902,93.934,-39.518,37.100,1,-39.604,-66.371,78.790,-53.930,-51.274,102.775
543.871,50,VR,B,1,Control Condition,Running Visualization,152.162,-62.371,167.819,-2.940,-36.794,161.061,1,16.548,-67.147,83.956,77.307,-24.015,52.786,1,-36.495,-65.046,79.363,-50.427,-46.827,96.351
544.372,50,VR,B,1,Control Condition,Running Visualization,156.252,-59.863,169.892,-3.311,-27.908,139.697,1,16.500,-80.755,80.672,82.366,-32.215,36.736,1,-35.703,-62.271,79.213,-52.556,-46.805,90.439
544.871,50,VR,B,1,Control Condition,Running Visualization,155.693,-60.154,169.785,-3.354,-28.289,142.561,1,17.095,-84.311,80.342,81.859,-34.270,25.619,1,-32.512,-60.048,80.448,-58.859,-49.095,91.819
545.371,50,VR,B,1,Control Condition,Running Visualization,154.307,-61.270,167.978,-1.575,-34.614,148.163,1,13.160,-57.001,108.739,-51.371,-31.758,80.484,1,-27.410,-52.382,100.107,42.195,-42.127,75.928
545.870,50,VR,B,1,Control Condition,Running Visualization,153.148,-62.739,167.003,-2.016,-38.753,155.648,1,14.506,-57.737,115.405,-76.277,-19.875,68.642,1,-31.297,-50.315,111.710,84.398,-17.821,73.754
546.372,50,VR,B,1,Control Condition,Running Visualization,151.809,-63.392,165.900,-2.981,-43.210,160.169,1,20.350,-62.690,100.585,-55.239,-33.897,56.707,1,-37.971,-51.720,100.200,53.722,-27.165,89.235
546.870,50,VR,B,1,Control Condition,Running Visualization,150.718,-63.716,165.879,-3.314,-42.698,159.517,1,22.042,-84.799,83.864,-3.892,-58.623,16.358,1,-46.314,-65.666,83.537,-18.001,-44.926,120.400
547.370,50,VR,B,1,Control Condition,Running Visualization,150.667,-63.871,164.473,0.038,-46.395,150.984,1,20.850,-68.885,91.069,-15.655,-47.853,43.300,1,-37.160,-60.454,84.419,-42.742,-34.843,88.920
547.871,50,VR,B,1,Control Condition,Running Visualization,145.663,-59.675,162.709,4.302,-49.703,146.892,1,20.598,-87.134,83.158,40.894,-57.308,4.174,1,-37.428,-63.897,80.527,-53.386,-43.639,96.703
548.370,50,VR,B,1,Control Condition,Running Visualization,139.008,-44.074,162.557,1.660,-50.952,155.873,1,39.151,-61.352,87.918,18.832,-44.231,35.490,1,-21.307,-56.464,82.295,-55.531,-41.343,103.412
548.871,50,VR,B,1,Control Condition,Running Visualization,135.218,-27.412,162.683,-5.595,-51.855,172.977,1,56.745,-61.623,84.574,30.168,-44.996,34.995,1,-8.129,-55.176,83.307,-63.821,-35.778,120.970
549.370,50,VR,B,1,Control Condition,Running Visualization,132.142,-23.676,162.125,-11.208,-53.175,-176.523,1,50.389,-66.356,79.323,52.665,-53.985,51.006,1,-4.598,-49.141,83.752,-67.753,-36.463,116.887
549.871,50,VR,B,1,Control Condition,Running Visualization,121.126,-32.386,161.891,-11.177,-51.910,-177.720,1,43.996,-59.603,80.348,59.515,-52.426,49.014,1,-5.611,-32.362,81.780,-65.556,-36.159,104.140
550.370,50,VR,B,1,Control Condition,Running Visualization,105.709,-45.881,162.115,-7.754,-53.730,171.337,1,31.898,-47.320,84.554,58.997,-46.563,36.758,1,-14.741,-12.997,79.632,-77.955,-32.011,100.411
550.870,50,VR,B,1,Control Condition,Running Visualization,100.074,-51.584,161.762,-7.714,-55.547,167.670,1,26.320,-49.513,84.144,71.052,-48.444,20.299,1,-24.734,-6.826,76.612,-65.692,-41.894,111.408
551.370,50,VR,B,1,Control Condition,Running Visualization,100.465,-52.917,162.618,-8.769,-52.483,161.484,1,23.652,-48.070,84.485,67.206,-44.516,19.630,1,-16.017,-17.249,76.589,-56.615,-48.299,60.362
551.870,50,VR,B,1,Control Condition,Running Visualization,105.004,-52.054,162.920,-8.426,-49.061,149.164,1,15.226,-58.633,83.452,69.524,-46.777,11.082,1,-18.959,-16.925,76.218,-48.970,-50.467,45.086
552.371,50,VR,B,1,Control Condition,Running Visualization,118.957,-61.538,162.919,-13.138,-45.091,142.042,1,-14.329,-70.634,77.390,64.845,-58.083,2.943,1,-20.303,-19.902,81.227,-57.606,-39.313,40.188
552.870,50,VR,B,1,Control Condition,Running Visualization,126.729,-71.976,163.036,-15.849,-48.712,142.457,1,-24.272,-77.243,76.894,65.446,-56.775,-1.681,1,-46.864,-20.598,81.979,-87.964,-50.467,74.567
553.371,50,VR,B,1,Control Condition,Running Visualization,119.914,-83.604,162.249,-11.443,-51.340,129.255,1,-29.045,-67.488,78.914,63.120,-48.746,-0.094,1,-47.881,-15.268,82.415,-69.963,-47.075,50.240
553.870,50,VR,B,1,Control Condition,Running Visualization,105.093,-98.487,160.813,-8.690,-54.904,107.785,1,-55.004,-55.416,77.779,75.537,-51.508,-37.233,1,-61.572,1.289,78.522,-74.343,-48.941,43.715
554.370,50,VR,B,1,Control Condition,Running Visualization,99.775,-106.731,160.004,-5.179,-57.219,102.400,1,-53.862,-54.847,80.817,73.168,-44.392,-32.893,1,-65.318,4.729,77.803,-66.110,-46.598,43.479
554.870,50,VR,B,1,Control Condition,Running Visualization,102.138,-108.376,159.774,1.081,-55.619,78.377,1,-58.211,-55.106,82.129,69.637,-40.409,-37.475,1,-65.936,2.315,75.453,-67.547,-51.264,32.688
555.370,50,VR,B,1,Control Condition,Running Visualization,105.516,-109.956,160.305,0.172,-51.933,62.147,1,-76.225,-53.105,78.108,77.375,-49.516,-61.459,1,-54.685,1.407,78.292,-63.661,-43.827,14.166
555.871,50,VR,B,1,Control Condition,Running Visualization,105.029,-110.133,164.542,0.379,-33.689,61.671,1,-67.932,-55.282,80.534,70.345,-42.888,-51.904,1,-56.847,2.518,77.388,-65.296,-44.925,16.911
556.370,50,VR,B,1,Control Condition,Running Visualization,101.735,-109.695,169.308,0.795,-20.604,66.491,1,-67.333,-55.799,81.680,76.274,-46.028,-52.208,1,-59.092,2.767,77.021,-63.998,-45.607,24.085
556.871,50,VR,B,1,Control Condition,Running Visualization,106.232,-102.155,168.028,-2.882,-35.860,91.827,1,-45.744,-60.291,85.104,68.638,-40.394,-33.285,1,-57.273,-3.714,80.433,-63.525,-45.250,33.945
557.370,50,VR,B,1,Control Condition,Running Visualization,114.355,-98.196,166.207,-2.909,-40.915,103.099,1,-43.858,-63.732,80.832,71.198,-49.345,-20.839,1,-58.327,-12.344,79.877,-66.092,-45.888,41.573
557.870,50,VR,B,1,Control Condition,Running Visualization,117.784,-97.083,165.071,-3.142,-45.047,106.566,1,-41.174,-66.232,80.649,67.423,-47.309,-18.478,1,-55.962,-13.951,81.058,-67.239,-43.619,40.984
